date,state,area,prominent_pollutants,aqi_value,air_quality_status
2026-09-15,Madhya Pradesh,Ujjain,O 3,44,Good
2026-09-15,Maharashtra,Ulhasnagar,PM 10,36,Good
2026-09-15,Gujarat,Vadodara,CO,84,Satisfactory
2026-09-15,Uttar Pradesh,Varanasi,PM 10,90,Satisfactory
2026-09-15,Gujarat,Vatva,PM 10,72,Satisfactory
2026-09-15,Andhra Pradesh,Vijayawada,PM 10,57,Satisfactory
2026-09-15,Maharashtra,Virar,O 3,45,Good
2026-09-15,Andhra Pradesh,Visakhapatnam,NO2,61,Satisfactory
2026-09-15,Uttar Pradesh,Vrindavan,"CO, PM 10",90,Satisfactory
2026-09-15,Karnataka,Yadgir,PM 10,42,Good
2026-09-15,Haryana,Yamuna Nagar,PM 2.5,109,Moderate
