date,state,area,prominent_pollutants,aqi_value,air_quality_status,main_pollutant
2026-08-04,Maharashtra,Nagpur,PM10 CO,35,Good,PM10
2026-08-04,Arunachal Pradesh,Naharlagun,PM10,23,Good,PM10
2026-08-04,Assam,Nalbari,PM2.5,67,Satisfactory,PM2.5
2026-08-04,Maharashtra,Nanded,PM10,29,Good,PM10
2026-08-04,Gujarat,Nandesari,PM10,51,Satisfactory,PM10
2026-08-04,Haryana,Narnaul,PM10,64,Satisfactory,PM10
2026-08-04,Maharashtra,Nashik,PM10 CO,35,Good,PM10
2026-08-04,Maharashtra,Navi Mumbai,PM10 CO,44,Good,PM10
2026-08-04,Andhra Pradesh,Nellore,PM10,65,Satisfactory,PM10
2026-08-04,Uttar Pradesh,Noida,PM10,61,Satisfactory,PM10
2026-08-04,Rajasthan,Pali,PM2.5,110,Moderate,PM2.5
2026-08-04,Haryana,Palwal,CO,77,Satisfactory,CO
2026-08-04,Jammu and Kashmir,Pampore,PM10,51,Satisfactory,PM10
2026-08-04,Haryana,Panchgaon,CO,33,Good,CO
2026-08-04,Haryana,Panchkula,PM2.5,69,Satisfactory,PM2.5
2026-08-04,Haryana,Panipat,PM10,146,Moderate,PM10
2026-08-04,Maharashtra,Parbhani,PM10,26,Good,PM10
2026-08-04,Punjab,Patiala,O3,35,Good,O3
2026-08-04,Bihar,Patna,PM10,55,Satisfactory,PM10
2026-08-04,Maharashtra,Pimpri-Chinchwad,PM10 CO,53,Satisfactory,PM10
2026-08-04,Madhya Pradesh,Pithampur,PM10,103,Moderate,PM10
2026-08-04,Rajasthan,Pratapgarh,PM10,93,Satisfactory,PM10
2026-08-04,Uttar Pradesh,Prayagraj,PM10,73,Satisfactory,PM10
2026-08-04,Puducherry,Puducherry,PM10,37,Good,PM10
2026-08-04,Maharashtra,Pune,PM10,48,Good,PM10
2026-08-04,Bihar,Purnia,CO,56,Satisfactory,CO
2026-08-04,Chhattisgarh,Raipur,PM10,40,Good,PM10
2026-08-04,Odisha,Rairangpur,PM10,40,Good,PM10
2026-08-04,Andhra Pradesh,Rajamahendravaram,O3,36,Good,O3
2026-08-04,Gujarat,Rajkot,PM10,84,Satisfactory,PM10
2026-08-04,Rajasthan,Rajsamand,PM10,62,Satisfactory,PM10
2026-08-04,Karnataka,Ramanagara,PM10,38,Good,PM10
2026-08-04,Madhya Pradesh,Ratlam,PM2.5,45,Good,PM2.5
2026-08-04,Uttarakhand,Rishikesh,CO,37,Good,CO
2026-08-04,Haryana,Rohtak,O3,37,Good,O3
2026-08-04,Odisha,Rourkela,PM10,48,Good,PM10
2026-08-04,Madhya Pradesh,Sagar,O3,38,Good,O3
2026-08-04,Bihar,Saharsa,PM10,49,Good,PM10
2026-08-04,Bihar,Samastipur,PM2.5,36,Good,PM2.5
2026-08-04,Maharashtra,Sangli,PM10,44,Good,PM10
2026-08-04,Bihar,Sasaram,PM10,54,Satisfactory,PM10
2026-08-04,Maharashtra,Satara,PM10,70,Satisfactory,PM10
2026-08-04,Madhya Pradesh,Satna,PM10,70,Satisfactory,PM10
2026-08-04,Rajasthan,Sawai Madhopur,PM10,64,Satisfactory,PM10
2026-08-04,,Shamli,CO,72,Satisfactory,CO
2026-08-04,Meghalaya,Shillong,SO2,28,Good,SO2
2026-08-04,Rajasthan,Sikar,PM10,92,Satisfactory,PM10
2026-08-04,Assam,Silchar,PM10,57,Satisfactory,PM10
2026-08-04,West Bengal,Siliguri,NO2,115,Moderate,NO2
2026-08-04,Madhya Pradesh,Singrauli,PM10,46,Good,PM10
2026-08-04,Rajasthan,Sirohi,PM10,81,Satisfactory,PM10
2026-08-04,Haryana,Sirsa,CO,85,Satisfactory,CO
2026-08-04,Bihar,Siwan,PM10,105,Moderate,PM10
2026-08-04,Maharashtra,Solapur,PM10,48,Good,PM10
2026-08-04,Haryana,Sonipat,PM10,131,Moderate,PM10
2026-08-04,Jammu and Kashmir,Srinagar,PM10,43,Good,PM10
